"state"	"year"	"vote"	"income"	"education"	"age"	"female"
"SC"	2000	1	6	2	32	1
"SC"	2000	1	17	3	57	0
"SC"	2000	0	13	4	50	0
"SC"	2000	1	11	3	65	0
"SC"	2000	1	11	2	30	0
"SC"	2000	1	10	2	62	1
"SC"	2000	1	13	3	48	0
"SC"	2000	1	17	3	56	1
"SC"	2000	0	12	3	49	0
"SC"	2000	1	9	3	31	1
"SC"	2000	1	15	3	62	0
"SC"	2000	1	17	4	62	0
"SC"	2000	1	8	1	52	0
"SC"	2000	1	14	4	44	1
"SC"	2000	1	15	3	50	0
"SC"	2000	1	17	3	52	1
"SC"	2000	1	10	2	78	1
"SC"	2000	1	17	3	22	1
"SC"	2000	1	14	1	37	1
"SC"	2000	0	12	3	78	1
"SC"	2000	1	13	2	70	0
"SC"	2000	0	9	2	30	0
"SC"	2000	1	11	1	68	0
"SC"	2000	1	13	4	28	1
"SC"	2000	0	17	4	34	0
"SC"	2000	1	15	3	49	1
"SC"	2000	1	17	3	51	0
"SC"	2000	1	16	2	59	0
"SC"	2000	1	12	2	54	0
"SC"	2000	1	17	4	44	0
"SC"	2000	1	14	4	31	1
"SC"	2000	1	8	1	40	0
"SC"	2000	1	16	3	54	1
"SC"	2000	1	17	3	54	1
"SC"	2000	1	17	4	61	0
"SC"	2000	1	12	2	52	1
"SC"	2000	1	13	4	58	1
"SC"	2000	1	17	2	56	0
"SC"	2000	1	16	3	37	1
"SC"	2000	1	17	4	29	0
"SC"	2000	1	13	2	57	0
"SC"	2000	1	16	3	20	1
"SC"	2000	0	12	3	36	1
"SC"	2000	1	14	2	71	0
"SC"	2000	0	6	1	56	1
"SC"	2000	1	11	2	65	1
"SC"	2000	1	12	3	47	1
"SC"	2000	1	13	3	52	0
"SC"	2000	1	17	3	20	1
"SC"	2000	1	15	3	46	1
"SC"	2000	0	6	1	77	1
"SC"	2000	1	17	2	64	0
"SC"	2000	1	14	4	79	0
"SC"	2000	1	5	1	71	1
"SC"	2000	1	16	2	45	0
"SC"	2000	1	17	4	66	0
"SC"	2000	0	11	1	61	0
"SC"	2000	1	4	1	58	1
"SC"	2000	1	11	3	69	1
"SC"	2000	1	9	3	79	1
"SC"	2000	1	11	3	74	0
"SC"	2000	0	9	1	64	1
"SC"	2000	0	12	3	58	0
"SC"	2000	1	7	1	75	1
"SC"	2000	1	10	2	65	1
"SC"	2000	1	17	4	34	1
"SC"	2000	0	12	3	21	0
"SC"	2000	1	13	3	38	1
"SC"	2000	0	14	4	45	0
"SC"	2000	1	17	3	21	1
"SC"	2000	1	17	2	22	0
"SC"	2000	1	7	2	78	1
"SC"	2000	1	12	3	39	1
"SC"	2000	1	17	2	51	1
"SC"	2000	1	14	2	48	1
"SC"	2000	0	9	2	46	0
"SC"	2000	1	9	4	70	1
"SC"	2000	1	15	4	30	0
"SC"	2000	1	11	2	44	1
"SC"	2000	1	11	4	65	0
"SC"	2000	1	5	2	56	1
"SC"	2000	1	17	4	45	0
"SC"	2000	1	17	3	31	1
"SC"	2000	1	10	2	49	0
"SC"	2000	0	17	4	32	0
"SC"	2000	1	17	2	46	1
"SC"	2000	1	9	2	38	1
"SC"	2000	1	8	1	68	1
"SC"	2000	1	14	2	53	1
"SC"	2000	1	13	4	44	1
"SC"	2000	1	8	2	20	1
"SC"	2000	1	16	3	30	1
"SC"	2000	1	17	4	50	1
"SC"	2000	1	17	3	23	0
"SC"	2000	1	17	4	44	1
"SC"	2000	1	14	3	28	0
"SC"	2000	1	5	2	39	1
"SC"	2000	1	17	2	85	1
"SC"	2000	0	7	3	72	1
"SC"	2000	1	12	2	41	1
"SC"	2000	0	17	4	34	0
"SC"	2000	1	17	3	48	1
"SC"	2000	1	17	4	49	0
"SC"	2000	1	15	2	62	0
"SC"	2000	1	17	2	51	1
"SC"	2000	1	11	3	42	1
"SC"	2000	1	17	4	44	1
"SC"	2000	1	11	2	78	0
"SC"	2000	1	15	3	59	0
"SC"	2000	0	13	2	40	0
"SC"	2000	1	15	4	72	0
"SC"	2000	1	15	3	47	1
"SC"	2000	1	17	3	34	1
"SC"	2000	0	9	3	21	1
"SC"	2000	1	15	2	58	1
"SC"	2000	1	10	1	65	0
"SC"	2000	1	11	2	23	1
"SC"	2000	1	17	4	38	1
"SC"	2000	0	6	1	60	0
"SC"	2000	1	16	4	45	0
"SC"	2000	1	12	2	39	1
"SC"	2000	1	15	3	45	0
"SC"	2000	1	16	3	41	0
"SC"	2000	1	12	2	79	1
"SC"	2000	1	9	2	59	1
"SC"	2000	1	9	2	73	1
"SC"	2000	1	5	1	63	1
"SC"	2000	1	7	4	52	0
"SC"	2000	1	10	3	52	1
"SC"	2000	1	12	2	78	0
"SC"	2000	1	13	2	36	1
"SC"	2000	1	15	3	19	1
"SC"	2000	1	16	3	20	0
"SC"	2000	1	16	2	40	1
"SC"	2000	1	13	2	69	1
"SC"	2000	1	13	2	38	0
"SC"	2000	1	17	4	71	0
"SC"	2000	1	17	2	53	1
"SC"	2000	1	12	4	40	0
"SC"	2000	1	16	4	45	1
"SC"	2000	1	17	4	63	0
"SC"	2000	1	8	1	74	0
"SC"	2000	1	4	2	45	1
"SC"	2000	1	17	4	45	0
"SC"	2000	1	17	4	63	0
"SC"	2000	1	16	2	41	0
"SC"	2000	1	17	4	40	1
"SC"	2000	1	17	4	48	0
"SC"	2000	1	11	4	28	1
"SC"	2000	1	11	1	55	0
"SC"	2000	1	10	2	72	1
"SC"	2000	1	17	4	43	1
"SC"	2000	1	17	4	37	1
"SC"	2000	1	17	4	55	1
"SC"	2000	1	11	1	75	1
"SC"	2000	1	17	4	49	0
"SC"	2000	0	11	2	29	1
"SC"	2000	1	13	2	40	0
"SC"	2000	1	7	2	62	1
"SC"	2000	1	9	2	41	1
"SC"	2000	1	7	2	40	1
"SC"	2000	1	12	1	60	1
"SC"	2000	1	16	2	50	1
"SC"	2000	1	11	4	38	1
"SC"	2000	0	8	2	19	0
"SC"	2000	0	7	1	73	0
"SC"	2000	1	15	4	82	0
"SC"	2000	1	16	2	56	1
"SC"	2000	1	17	2	53	0
"SC"	2000	1	15	4	40	0
"SC"	2000	1	14	2	59	1
"SC"	2000	1	16	3	33	0
"SC"	2000	1	5	1	64	0
"SC"	2000	1	14	4	32	1
"SC"	2000	1	17	4	56	1
"SC"	2000	1	16	4	50	0
"SC"	2000	1	10	1	80	0
"SC"	2000	1	8	1	46	1
"SC"	2000	1	16	4	37	0
"SC"	2000	1	17	4	40	1
"SC"	2000	1	7	1	82	0
"SC"	2000	1	15	4	62	0
"SC"	2000	1	13	4	34	1
"SC"	2000	1	17	4	50	1
"SC"	2000	1	16	4	44	0
"SC"	2000	1	15	3	68	0
"SC"	2000	1	14	3	25	1
"SC"	2000	1	11	1	23	1
"SC"	2000	0	17	4	43	0
"SC"	2000	1	13	3	38	0
"SC"	2000	1	13	3	23	1
"SC"	2000	1	5	2	47	1
"SC"	2000	1	16	4	55	1
"SC"	2000	1	5	2	45	0
"SC"	2000	0	9	2	20	1
"SC"	2000	1	16	3	42	1
"SC"	2000	1	8	1	54	0
"SC"	2000	1	11	1	76	0
"SC"	2000	0	9	1	78	0
"SC"	2000	1	16	4	37	1
"SC"	2000	1	15	3	46	0
"SC"	2000	1	12	2	26	1
"SC"	2000	1	17	3	43	1
"SC"	2000	0	15	2	36	1
"SC"	2000	1	16	2	37	0
"SC"	2000	1	16	4	50	1
"SC"	2000	1	17	3	57	0
"SC"	2000	1	5	3	24	1
"SC"	2000	1	13	3	19	1
"SC"	2000	0	9	3	51	1
"SC"	2000	1	13	2	53	1
"SC"	2000	1	17	4	48	1
"SC"	2000	1	17	4	63	1
"SC"	2000	0	9	2	81	1
"SC"	2000	1	17	2	35	0
"SC"	2000	1	10	4	84	0
"SC"	2000	1	16	2	57	0
"SC"	2000	1	11	4	28	1
"SC"	2000	0	8	1	62	1
"SC"	2000	1	5	2	50	1
"SC"	2000	1	15	2	51	1
"SC"	2000	1	17	4	53	1
"SC"	2000	1	10	2	24	0
"SC"	2000	1	12	3	46	0
"SC"	2000	0	12	1	79	1
"SC"	2000	1	9	1	36	1
"SC"	2000	1	9	2	32	0
"SC"	2000	1	17	4	54	1
"SC"	2000	1	14	4	39	1
"SC"	2000	1	15	2	29	0
"SC"	2000	1	14	3	38	0
"SC"	2000	1	17	4	74	0
"SC"	2000	1	17	4	68	1
"SC"	2000	1	4	1	29	1
"SC"	2000	1	16	2	43	1
"SC"	2000	1	17	4	29	1
"SC"	2000	1	14	3	33	1
"SC"	2000	1	17	4	28	0
"SC"	2000	1	8	1	72	1
"SC"	2000	1	17	4	22	1
"SC"	2000	1	7	2	33	1
"SC"	2000	1	11	3	50	1
"SC"	2000	1	9	1	84	1
"SC"	2000	0	5	2	66	1
"SC"	2000	1	15	2	55	1
"SC"	2000	1	11	1	41	0
"SC"	2000	1	16	4	59	1
"SC"	2000	1	16	4	75	1
"SC"	2000	1	12	2	43	0
"SC"	2000	1	16	4	39	1
"SC"	2000	1	9	3	34	1
"SC"	2000	0	8	1	85	0
"SC"	2000	1	17	2	31	0
"SC"	2000	1	16	4	38	1
"SC"	2000	1	10	3	31	1
"SC"	2000	1	10	3	76	0
"SC"	2000	1	8	1	63	1
"SC"	2000	1	17	3	20	1
"SC"	2000	0	13	2	25	1
"SC"	2000	0	8	2	65	1
"SC"	2000	1	16	3	21	0
"SC"	2000	1	15	4	36	0
"SC"	2000	0	8	1	70	0
"SC"	2000	1	17	4	65	1
"SC"	2000	1	5	1	55	1
"SC"	2000	1	17	4	45	1
"SC"	2000	0	9	2	25	0
"SC"	2000	1	11	4	46	0
"SC"	2000	1	7	4	26	0
"SC"	2000	1	15	2	38	1
"SC"	2000	1	14	3	40	0
"SC"	2000	0	15	4	35	1
"SC"	2000	1	14	4	52	1
"SC"	2000	1	16	2	41	1
"SC"	2000	1	12	3	68	0
"SC"	2000	1	14	4	64	1
"SC"	2000	1	10	3	40	1
"SC"	2000	0	14	2	85	1
"SC"	2000	1	17	2	47	0
"SC"	2000	1	12	4	60	1
"SC"	2000	1	15	4	56	0
"SC"	2000	1	5	2	67	1
"SC"	2000	1	16	2	18	0
"SC"	2000	1	8	2	62	1
"SC"	2000	1	17	3	72	1
"SC"	2000	1	12	2	81	0
"SC"	2000	1	16	2	52	0
"SC"	2000	1	5	1	69	1
"SC"	2000	1	15	2	34	1
"SC"	2000	1	10	4	32	1
"SC"	2000	1	15	2	59	1
"SC"	2000	1	17	4	59	1
"SC"	2000	1	17	4	49	0
"SC"	2000	1	10	2	21	1
"SC"	2000	1	17	4	56	0
"SC"	2000	0	17	4	64	0
"SC"	2000	1	16	2	44	1
"SC"	2000	1	10	3	72	0
"SC"	2000	0	15	2	48	0
"SC"	2000	0	17	3	47	0
"SC"	2000	1	16	2	48	1
"SC"	2000	1	16	4	51	0
"SC"	2000	1	16	3	36	1
"SC"	2000	1	17	4	48	0
"SC"	2000	1	15	3	48	1
"SC"	2000	1	13	3	34	1
"SC"	2000	1	16	2	48	1
"SC"	2000	1	17	4	28	0
"SC"	2000	1	13	2	45	1
"SC"	2000	1	17	4	77	0
"SC"	2000	1	13	3	38	0
"SC"	2000	1	15	4	74	1
"SC"	2000	1	17	3	41	0
"SC"	2000	1	17	4	56	1
"SC"	2000	1	17	2	48	1
"SC"	2000	1	13	2	35	0
"SC"	2000	1	15	3	38	0
"SC"	2000	1	16	3	20	1
"SC"	2000	1	12	2	69	0
"SC"	2000	1	15	2	41	1
"SC"	2000	1	14	4	65	0
"SC"	2000	1	14	3	68	1
"SC"	2000	1	5	1	57	1
"SC"	2000	1	6	3	20	0
"SC"	2000	1	15	4	30	1
"SC"	2000	1	6	1	65	1
"SC"	2000	1	17	3	48	0
"SC"	2000	0	7	1	72	0
"SC"	2000	1	16	2	71	1
"SC"	2000	1	6	2	55	1
"SC"	2000	1	17	3	36	0
"SC"	2000	1	12	2	60	1
"SC"	2000	1	15	3	43	1
"SC"	2000	1	17	3	20	1
"SC"	2000	1	12	4	80	0
"SC"	2000	1	16	2	72	0
"SC"	2000	1	16	4	44	1
"SC"	2000	1	17	3	19	0
"SC"	2000	1	6	1	72	0
"SC"	2000	1	17	4	49	1
"SC"	2000	1	15	4	71	0
"SC"	2000	1	16	4	54	0
"SC"	2000	1	16	2	53	1
"SC"	2000	0	10	1	79	0
"SC"	2000	1	13	3	49	1
"SC"	2000	1	12	3	62	0
"SC"	2000	1	15	3	72	1
"SC"	2000	1	16	3	49	0
"SC"	2000	0	8	1	84	1
"SC"	2000	0	16	4	37	0
"SC"	2000	1	13	3	44	0
"SC"	2000	1	4	1	69	1
"SC"	2000	1	15	4	29	0
"SC"	2000	1	13	2	71	0
"SC"	2000	1	11	4	65	1
"SC"	2000	1	12	2	67	1
"SC"	2000	1	14	2	36	1
"SC"	2000	1	17	4	60	1
"SC"	2000	0	4	3	19	0
"SC"	2000	1	16	2	30	0
"SC"	2000	1	10	2	36	0
"SC"	2000	1	17	2	56	0
"SC"	2000	1	17	4	40	1
"SC"	2000	0	17	4	47	1
"SC"	2000	1	15	3	35	0
"SC"	2000	1	9	1	27	1
"SC"	2000	1	4	2	63	1
"SC"	2000	1	9	3	22	0
"SC"	2000	1	16	2	18	1
"SC"	2000	1	15	2	56	0
"SC"	2000	1	11	2	33	1
"SC"	2000	1	17	4	34	0
"SC"	2000	0	17	3	49	0
"SC"	2000	1	8	2	76	0
"SC"	2000	1	14	4	71	1
"SC"	2000	1	14	2	62	1
"SC"	2000	1	16	3	36	1
"SC"	2000	1	17	4	58	1
"SC"	2000	1	17	4	55	0
"SC"	2000	1	13	3	21	0
"SC"	2000	1	17	3	43	1
"SC"	2000	1	17	3	54	1
"SC"	2000	1	17	3	55	0
"SC"	2000	1	6	1	81	1
"SC"	2000	0	16	3	51	0
"SC"	2000	1	17	1	48	1
"SC"	2000	1	15	3	45	1
"SC"	2000	1	15	3	34	0
"SC"	2000	1	7	2	30	0
"SC"	2000	0	6	2	75	1
"SC"	2000	1	15	3	51	0
"SC"	2000	0	6	3	47	1
"SC"	2000	1	17	4	55	0
"SC"	2000	1	7	1	67	1
"SC"	2000	0	6	2	39	1
"SC"	2000	1	9	3	66	0
"SC"	2000	0	9	1	73	1
"SC"	2000	1	6	3	21	0
"SC"	2000	1	11	1	30	1
"SC"	2000	1	17	4	41	0
"SC"	2000	1	7	1	63	1
"SC"	2000	1	10	3	19	0
"SC"	2000	1	9	2	61	1
"SC"	2000	1	12	2	26	0
"SC"	2000	1	16	3	47	0
"SC"	2000	1	17	4	42	0
"SC"	2000	1	17	4	54	1
"SC"	2000	1	11	3	40	0
"SC"	2000	1	16	2	43	0
"SC"	2000	1	15	3	40	0
"SC"	2000	0	11	2	54	1
"SC"	2000	1	8	1	80	0
"SC"	2000	0	17	2	85	1
"SC"	2000	1	15	3	66	0
"SC"	2000	1	5	1	78	1
"SC"	2000	0	17	3	29	1
"SC"	2000	1	9	4	24	1
"SC"	2000	1	10	4	73	1
"SC"	2000	1	17	3	47	1
"SC"	2000	1	17	4	41	0
"SC"	2000	1	17	4	50	1
"SC"	2000	1	17	4	35	1
"SC"	2000	1	5	2	43	0
"SC"	2000	1	10	2	70	1
"SC"	2000	1	11	4	70	0
"SC"	2000	1	10	4	70	0
"SC"	2000	0	14	4	23	1
"SC"	2000	1	14	1	56	1
"SC"	2000	1	14	3	64	0
"SC"	2000	1	17	3	20	1
"SC"	2000	1	5	1	62	1
"SC"	2000	1	12	3	45	1
"SC"	2000	1	15	3	29	1
"SC"	2000	1	13	4	31	1
"SC"	2000	1	15	2	57	1
"SC"	2000	1	14	4	32	1
"SC"	2000	0	9	3	22	1
"SC"	2000	1	5	2	52	0
"SC"	2000	1	11	2	74	1
"SC"	2000	1	9	2	62	1
"SC"	2000	1	17	2	55	0
"SC"	2000	1	17	3	55	0
"SC"	2000	1	17	2	53	1
"SC"	2000	1	12	3	63	0
"SC"	2000	1	4	1	76	1
"SC"	2000	1	17	4	52	0
"SC"	2000	1	14	4	40	1
"SC"	2000	1	9	1	46	0
"SC"	2000	1	14	2	62	0
"SC"	2000	1	16	2	38	0
"SC"	2000	1	13	4	42	1
"SC"	2000	1	15	4	29	1
"SC"	2000	1	16	4	50	0
"SC"	2000	0	14	1	24	1
"SC"	2000	1	15	2	44	0
"SC"	2000	1	15	4	29	0
"SC"	2000	1	8	3	20	0
"SC"	2000	1	16	4	49	1
"SC"	2000	1	15	4	25	1
"SC"	2000	1	10	2	59	1
"SC"	2000	1	15	4	26	0
"SC"	2000	1	16	4	30	1
"SC"	2000	0	12	2	19	0
"SC"	2000	1	11	3	37	1
"SC"	2000	1	6	2	85	1
"SC"	2000	1	12	4	75	1
"SC"	2000	1	11	1	61	1
"SC"	2000	1	15	4	72	1
"SC"	2000	1	15	4	62	1
"SC"	2000	1	16	3	46	0
"SC"	2000	1	16	2	49	0
"SC"	2000	1	4	1	70	0
"SC"	2000	1	12	2	41	0
"SC"	2000	1	14	1	35	1
"SC"	2000	1	14	4	50	1
"SC"	2000	1	4	2	25	0
"SC"	2000	0	16	3	21	1
"SC"	2000	1	16	1	47	0
"SC"	2000	1	10	1	84	0
"SC"	2000	1	6	2	61	1
"SC"	2000	1	17	2	45	0
"SC"	2000	1	4	2	30	1
"SC"	2000	1	4	2	63	0
"SC"	2000	1	4	1	83	1
"SC"	2000	1	11	3	65	0
"SC"	2000	1	11	2	28	0
"SC"	2000	1	15	3	37	1
"SC"	2000	1	6	4	23	0
"SC"	2000	1	16	4	57	0
"SC"	2000	0	10	3	23	0
"SC"	2000	1	7	3	62	1
"SC"	2000	1	15	3	37	1
"SC"	2000	1	17	2	74	0
"SC"	2000	1	11	2	71	1
"SC"	2000	1	17	4	23	1
"SC"	2000	1	6	1	68	1
"SC"	2000	1	13	3	35	1
"SC"	2000	1	15	3	21	0
"SC"	2000	1	10	2	45	1
"SC"	2000	1	17	4	36	0
"SC"	2000	1	6	2	32	1
"SC"	2000	1	17	3	57	0
"SC"	2000	0	13	4	50	0
"SC"	2000	1	11	3	65	0
"SC"	2000	1	11	2	30	0
"SC"	2000	1	10	2	62	1
"SC"	2000	1	13	3	48	0
"SC"	2000	1	17	3	56	1
"SC"	2000	0	12	3	49	0
"SC"	2000	1	9	3	31	1
"SC"	2000	1	15	3	62	0
"SC"	2000	1	17	4	62	0
"SC"	2000	1	8	1	52	0
"SC"	2000	1	14	4	44	1
"SC"	2000	1	15	3	50	0
"SC"	2000	1	17	3	52	1
"SC"	2000	1	10	2	78	1
"SC"	2000	1	17	3	22	1
"SC"	2000	1	14	1	37	1
"SC"	2000	0	12	3	78	1
"SC"	2000	1	13	2	70	0
"SC"	2000	0	9	2	30	0
"SC"	2000	1	11	1	68	0
"SC"	2000	1	13	4	28	1
"SC"	2000	0	17	4	34	0
"SC"	2000	1	15	3	49	1
"SC"	2000	1	17	3	51	0
"SC"	2000	1	16	2	59	0
"SC"	2000	1	12	2	54	0
"SC"	2000	1	17	4	44	0
"SC"	2000	1	14	4	31	1
"SC"	2000	1	8	1	40	0
"SC"	2000	1	16	3	54	1
"SC"	2000	1	17	3	54	1
"SC"	2000	1	17	4	61	0
"SC"	2000	1	12	2	52	1
"SC"	2000	1	13	4	58	1
"SC"	2000	1	17	2	56	0
"SC"	2000	1	16	3	37	1
"SC"	2000	1	17	4	29	0
"SC"	2000	1	13	2	57	0
"SC"	2000	1	16	3	20	1
"SC"	2000	0	12	3	36	1
"SC"	2000	1	14	2	71	0
"SC"	2000	0	6	1	56	1
"SC"	2000	1	11	2	65	1
"SC"	2000	1	12	3	47	1
"SC"	2000	1	13	3	52	0
"SC"	2000	1	17	3	20	1
"SC"	2000	1	15	3	46	1
"SC"	2000	0	6	1	77	1
"SC"	2000	1	17	2	64	0
"SC"	2000	1	14	4	79	0
"SC"	2000	1	5	1	71	1
"SC"	2000	1	16	2	45	0
"SC"	2000	1	17	4	66	0
"SC"	2000	0	11	1	61	0
"SC"	2000	1	4	1	58	1
"SC"	2000	1	11	3	69	1
"SC"	2000	1	9	3	79	1
"SC"	2000	1	11	3	74	0
"SC"	2000	0	9	1	64	1
"SC"	2000	0	12	3	58	0
"SC"	2000	1	7	1	75	1
"SC"	2000	1	10	2	65	1
"SC"	2000	1	17	4	34	1
"SC"	2000	0	12	3	21	0
"SC"	2000	1	13	3	38	1
"SC"	2000	0	14	4	45	0
"SC"	2000	1	17	3	21	1
"SC"	2000	1	17	2	22	0
"SC"	2000	1	7	2	78	1
"SC"	2000	1	12	3	39	1
"SC"	2000	1	17	2	51	1
"SC"	2000	1	14	2	48	1
"SC"	2000	0	9	2	46	0
"SC"	2000	1	9	4	70	1
"SC"	2000	1	15	4	30	0
"SC"	2000	1	11	2	44	1
"SC"	2000	1	11	4	65	0
"SC"	2000	1	5	2	56	1
"SC"	2000	1	17	4	45	0
"SC"	2000	1	17	3	31	1
"SC"	2000	1	10	2	49	0
"SC"	2000	0	17	4	32	0
"SC"	2000	1	17	2	46	1
"SC"	2000	1	9	2	38	1
"SC"	2000	1	8	1	68	1
"SC"	2000	1	14	2	53	1
"SC"	2000	1	13	4	44	1
"SC"	2000	1	8	2	20	1
"SC"	2000	1	16	3	30	1
"SC"	2000	1	17	4	50	1
"SC"	2000	1	17	3	23	0
"SC"	2000	1	17	4	44	1
"SC"	2000	1	14	3	28	0
"SC"	2000	1	5	2	39	1
"SC"	2000	1	17	2	85	1
"SC"	2000	0	7	3	72	1
"SC"	2000	1	12	2	41	1
"SC"	2000	0	17	4	34	0
"SC"	2000	1	17	3	48	1
"SC"	2000	1	17	4	49	0
"SC"	2000	1	15	2	62	0
"SC"	2000	1	17	2	51	1
"SC"	2000	1	11	3	42	1
"SC"	2000	1	17	4	44	1
"SC"	2000	1	11	2	78	0
"SC"	2000	1	15	3	59	0
"SC"	2000	0	13	2	40	0
"SC"	2000	1	15	4	72	0
"SC"	2000	1	15	3	47	1
"SC"	2000	1	17	3	34	1
"SC"	2000	0	9	3	21	1
"SC"	2000	1	15	2	58	1
"SC"	2000	1	10	1	65	0
"SC"	2000	1	11	2	23	1
"SC"	2000	1	17	4	38	1
"SC"	2000	0	6	1	60	0
"SC"	2000	1	16	4	45	0
"SC"	2000	1	12	2	39	1
"SC"	2000	1	15	3	45	0
"SC"	2000	1	16	3	41	0
"SC"	2000	1	12	2	79	1
"SC"	2000	1	9	2	59	1
"SC"	2000	1	9	2	73	1
"SC"	2000	1	5	1	63	1
"SC"	2000	1	7	4	52	0
"SC"	2000	1	10	3	52	1
"SC"	2000	1	12	2	78	0
"SC"	2000	1	13	2	36	1
"SC"	2000	1	15	3	19	1
"SC"	2000	1	16	3	20	0
"SC"	2000	1	16	2	40	1
"SC"	2000	1	13	2	69	1
"SC"	2000	1	13	2	38	0
"SC"	2000	1	17	4	71	0
"SC"	2000	1	17	2	53	1
"SC"	2000	1	12	4	40	0
"SC"	2000	1	16	4	45	1
"SC"	2000	1	17	4	63	0
"SC"	2000	1	8	1	74	0
"SC"	2000	1	4	2	45	1
"SC"	2000	1	17	4	45	0
"SC"	2000	1	17	4	63	0
"SC"	2000	1	16	2	41	0
"SC"	2000	1	17	4	40	1
"SC"	2000	1	17	4	48	0
"SC"	2000	1	11	4	28	1
"SC"	2000	1	11	1	55	0
"SC"	2000	1	10	2	72	1
"SC"	2000	1	17	4	43	1
"SC"	2000	1	17	4	37	1
"SC"	2000	1	17	4	55	1
"SC"	2000	1	11	1	75	1
"SC"	2000	1	17	4	49	0
"SC"	2000	0	11	2	29	1
"SC"	2000	1	13	2	40	0
"SC"	2000	1	7	2	62	1
"SC"	2000	1	9	2	41	1
"SC"	2000	1	7	2	40	1
"SC"	2000	1	12	1	60	1
"SC"	2000	1	16	2	50	1
"SC"	2000	1	11	4	38	1
"SC"	2000	0	8	2	19	0
"SC"	2000	0	7	1	73	0
"SC"	2000	1	15	4	82	0
"SC"	2000	1	16	2	56	1
"SC"	2000	1	17	2	53	0
"SC"	2000	1	15	4	40	0
"SC"	2000	1	14	2	59	1
"SC"	2000	1	16	3	33	0
"SC"	2000	1	5	1	64	0
"SC"	2000	1	14	4	32	1
"SC"	2000	1	17	4	56	1
"SC"	2000	1	16	4	50	0
"SC"	2000	1	10	1	80	0
"SC"	2000	1	8	1	46	1
"SC"	2000	1	16	4	37	0
"SC"	2000	1	17	4	40	1
"SC"	2000	1	7	1	82	0
"SC"	2000	1	15	4	62	0
"SC"	2000	1	13	4	34	1
"SC"	2000	1	17	4	50	1
"SC"	2000	1	16	4	44	0
"SC"	2000	1	15	3	68	0
"SC"	2000	1	14	3	25	1
"SC"	2000	1	11	1	23	1
"SC"	2000	0	17	4	43	0
"SC"	2000	1	13	3	38	0
"SC"	2000	1	13	3	23	1
"SC"	2000	1	5	2	47	1
"SC"	2000	1	16	4	55	1
"SC"	2000	1	5	2	45	0
"SC"	2000	0	9	2	20	1
"SC"	2000	1	16	3	42	1
"SC"	2000	1	8	1	54	0
"SC"	2000	1	11	1	76	0
"SC"	2000	0	9	1	78	0
"SC"	2000	1	16	4	37	1
"SC"	2000	1	15	3	46	0
"SC"	2000	1	12	2	26	1
"SC"	2000	1	17	3	43	1
"SC"	2000	0	15	2	36	1
"SC"	2000	1	16	2	37	0
"SC"	2000	1	16	4	50	1
"SC"	2000	1	17	3	57	0
"SC"	2000	1	5	3	24	1
"SC"	2000	1	13	3	19	1
"SC"	2000	0	9	3	51	1
"SC"	2000	1	13	2	53	1
"SC"	2000	1	17	4	48	1
"SC"	2000	1	17	4	63	1
"SC"	2000	0	9	2	81	1
"SC"	2000	1	17	2	35	0
"SC"	2000	1	10	4	84	0
"SC"	2000	1	16	2	57	0
"SC"	2000	1	11	4	28	1
"SC"	2000	0	8	1	62	1
"SC"	2000	1	5	2	50	1
"SC"	2000	1	15	2	51	1
"SC"	2000	1	17	4	53	1
"SC"	2000	1	10	2	24	0
"SC"	2000	1	12	3	46	0
"SC"	2000	0	12	1	79	1
"SC"	2000	1	9	1	36	1
